review,sentiment
"They don't even serve the food, just leave it on the table.",0
"Perhaps because we are 'old', in our late 50s we were deemed in an inappropriate place and our custom unwanted.",0
Cooking is an art and cant be done with great equipment's only if you don't have it in you and that's the case with Leo's ... They have a beautiful stone pizza oven but don't know how to make a simple decent pizza + the cheese that they use looks like low quality Mozzarella as it turned out to be nothing less than a chewing gum.,0
HIGHLY OVERPRICED! Just can't figure out what were they charging for??,0
I found chicken in my veg curry.That in itself is a crime.,0
Pathetic waiting management. Also they are not as perfect as sarwana bhawan.,0
Hopeless service!!!  Hopeless service!  It was amazing till it was Biryani Paradise. ,0
You can have better food in other place will never again go to this place again.,0
We visited The Great Kabab Factory with a toddler yesterday and let me highlight what all was great-  1. No soap in ladies washroom- despite 3 times informing staff.Our dinner was ruined because I refused to eat with this kind of rude staff and my parents and husband kept waiting for food. My toddler had to be pacified with a phone.,0
I had one bite and couldn't take another.,0
Pathetic experience. Clueless wait staff.The owner should hire more professional staff.,0
Imagine you walk into a cafe and ask for coffee. The coffee comes not in the usual cup but in some funny disposable glass. You ask the waiter to help you with a cup- and he replies that cups are discontinued now! The next moment you get up to order something else and you find the entire staff of this particular cafe relishing coffee in a proper cup! The creepiest thing about franchised places like Cafe coffee day is the way their staff behaves! With absolutely no decent sense of respect for your guests - they pretend as if you did the most unwelcome and unpleasant thing by walking into their joint! CCD FOLKS- your snacks and coffee sucked anyways - now your staff sucks too! Way to go guys !,0
" I complained to the Hotel Manager, and asked for 'compensation' also (although that would not have helped in the mosquito bites), but he gently & cleverly sent me back.",0
Guys first time I am rating one star to taj property..sorry I didnt like food and service at capital reasturant . ,0
"when tried it was my life nightmare, worst food ever had, does not know to make Chicken tikka masala at all when said they just added some more spice in it and gave back.The most serious and unpleasant thing that would happen regarding food.",0
Never suggested to anyone and on what base they charge Service charges ???,0
" I have seen this happening at dhaba, but at this a pricey place (where cold drink is rs 140) - I would expect enough ice buckets at least.",0
Service was Pathetic. It appeared as if this place is not prepared to host people for a Saturday night.One of the worst experiences. ,0
It was served cold and i was wondering if i had actually ordered a frappe.,0
Specially the tea was so pathetic that i could stop myself and went back to the order counter give it back with my feedback that i get better tea in railway then your tea.,0
"We had the most horrible experience and the entire celebration mood was ruined .In case some one really needs to burn and waste their money , this is the perfect place for it .... horrible .",0
but the Nigiri Sushi needs improvement. You cannot serve plastic looking frozen sushi and expect customers to be happy when the sushi is falling apart.,0
we went for family lunch on sunday & for the first time we felt like uninvited guest at a restaurant.,0
"The manager appeared sorry, but still I had to tell him maybe it would be a good idea to remove the dish from the table. Anyway, we will never return here, not in the least because when you have 15 customers in your restaurant, maybe you can pay enough attention to their needs...",0
"The Dhaba Dinner was a Disaster, what killed it was not just the poor quality of food, appalling levels of service, huge delays, missing standards of guest experience, food, taste, temperature, service quality, but the indifferent attitude of the Manager and possibly ...maybe the colour RED !! ",0
"So this wannabe guy who looked mature comes to serve and with his unique style ,spills one of the drinks on me. All of us in high spirits left a very disappointing experience overall and felt way overcharged!!",0
 It might be good for foreigners but a person who knows about Indian dishes might not like it.,0
 Then when you sit you have to look and really beg someone to show you the menu.Horrible is the word to describe what i and most of the people got.The service and the behavior of people working here killed everything that night. I would not recommend or go to this restaurant ever in my life.,0
"Leaving food aside, there was no one even humble enough to serve a glass of water. It is very unpleasing and very shameful on the staff's and management's end.",0
"Absolutely a sham & No, No.",0
The chairs and tables are furnished in TARTAN (I have nothing against the Scottish but I don't think a Scotland would be amused if the George Cross was on display in a bar that says it's Scottish).The only way these people listen to genuine complaints is from the sound of your feet leaving!,0
 We had the Saturday lunch buffet and to say that we were disappointed would be an understatement.,0
Soggy boiled rice with few diced veggies was passed on as Fried Rice... Strange that with such poor food quality Yo china is still surviving....,0
For once trip advisor ditched me.,0
Well it all rubbish There a morning afternoon  and evening sachet and they are all the same and did nothing for me !!! Waste of money.,0
"I would recommend that you visit Swagath only if you must, and at your own risk. Avoid if you can.",0
I had ordered food from their GK outlet and it was horrible to say the least.,0
"First of all, except the doorman, no one was very keen to attend us.Visit at your own risk.",0
"It would have been great to have got some more substantial options for the price, or would have been much better off eating at a 5 star restaurant for a full meal for equal cost.",0
"Paying 7000 rupees for food that was inedible and mainly uneaten and whats more did not even enable me to fill my stomach is daylight robbery;My question to the team in charge is, what you up to guys?",0
"Of 8 days spent in Delhi and Gurgaon, it was the only meal that was truly disappointing.",0
" 2 pieces of very thin toast, 1 fried egg, 1 juice costs 130 rupee each! what the hell!",0
"A server called ""SAIF"" totally ruined our evening. His attitude was worse than what waiters in roadside dhabas would have.So people if you have an intense desire to be ill treated and misbehaved with then Sampan is the place for you. You will get served plenty of insults along with the food. ",0
"Dear Mr Khanna, thank you for letting me know, I didn realised I am so illiterate that I barely understood the difference of waiting area and cafe. My regards to your education, I learned something new. ",0
"Here, I learned the meaning of 'Frankenfood' - tasteless, plasticky/rubbery stuff that masquerades as food. Everything was so horrible that it was fascinating, and, amazingly, each dish cost as much as a similar item in a good restaurant.",0
"Totally DEVIL MAY CARE ATTITUDE prevails even after giving feedbacks via mail, tweeting or FB. Main reason seems to be most of the guests don't bother..!!!!!!! (Obviously...!!!!!!) As if all guests r SMALL CHILDREN!!!!!!!",0
"Staff there is not trained at all, they give you food as if they are giving it to a beggar....",0
 So yes I say if you have better options look elsewhere.,0
 I have never seen a place like this where all employees are frauds.,0
"How difficult is to get Indian good right? Seems difficult for sure Overrated and slow service  fit for small cars Indian cannot do anything well thought after, always penny wise pound foolish ... ",0
"Normally in India I gotten amazing food where ever I go, but this was big disappointment.",0
Totally disgusting.,0
it took the server more time to tell us what wasn available than what was ! ,0
"I can believe that in today environment & specially in the service/hospitality industry, and that too at a reasonably hi-end restaurant, I will get a govt. office type, bureaucratic, disinterested treatment.",0
The owner is simply minting money out of nothing.,0
"Food is dreadful! Kebabs which have a strange spice, chicken with a weird egg coating, no rice is served so you end up having dhal just floating on your plate ...The diners are mostly non Indians , a major tourist trap! really putting Indian food and hospitality to shame ! ",0
We found it absolutely shocking and frankly a bit horrifying that a restaurant in a Hyatt property is not held to the same standards that we have seen at every other Hyatt property we have stayed at anywhere else in the world. Absolutely terrible - NOT RECOMMENDED.,0
One of the unhygienic places i ever had food at .. Its just a name and nothing else . No taste and not even variety . Money wasted .. roadside food must be far better than this..,0
The quality of Chhole Bhature and tikki chhole was so bad that I had to leave it midway and on top of it I got stomachache.,0
Would never recommend this place to anyone.,0
To sum it up this place had all the pretense and none of the quality one would expect for such exhorbitant prices (even by North American standards). We felt very ripped off.,0
absolutely poor service level of staff.,0
The place plays music as though you are in a pub/discotheque not in a lounge. You can barely talk to each other.,0
"It is just name only, no authentic or even tasty food at all. Sambhar, Rasam and even Vegetables are totally tasteless. My rating -10. (Minus Ten)",0
"Everyone raves about this place but everything I've seen or tried there is worse than my laziest efforts in the kitchen, so many nicer places in khan market to eat don't waste your time.",0
"God is watching lol, you guys will pay for whatever stress and harrassment you guys did with me for sure  I strongly advice to skip, rest you can go and dare deny paying the service charge.",0
 That's the Bukhara for you. What a con job!!,0
"May I please present the one and only restaurant that has the perfect recipe for spoiling your evening.We had an experience so infinitely bad that the entire staff of this restaurant from the servers, cooks and manager all should be bundled and dumped in a hotel management school.The food that they serve is awefull in every sense of the term. I am running short of appropriate adjectives to express our displeasure. That evening we had our worst dining experience. May the owner of this restaurant and chef disappear in the dark dungeons they belong to.",0
basically everything we ordered was below average! ,0
"Tandoori Chicken was burnt and harder than rubber. Matar Paneer had Paneer which was fried to hell, again extremely hard and it tasted bad. So I really don't know if it was a bad day for me or for them or that's the reality now.",0
THEY ARE LIARS AND EXTREMELY UNPROFESSIONAL.,0
Its waste of time and money if you are going for karims for your meal.,0
I never recommend anyone to go and waste Money & Time .,0
 Extremely average paneer dish oversold with a lot of drama around it .,0
We clearly fell in a tourist trap!  Our trip to India should not make us feel that we¡¯re constantly ripped off! Greediness does not get good reviews as it definitely does not mean returning customers! ,0
Only good thing is - Raita Vada Sambar sucks big time...,0
when we called them they claimed it to be totally vegetarian but there were 4-5 persons and no one ate it.,0
"Now, Yo!China is a waste of time and money. There's nothing in the food. You could be chewing anything hot - it mostly tastes flat.The best is to ignore it.",0
Do not eat poison rather eat the daal rice at your home as it is safe and secure.,0
"If i need to chew a galouti kebab for that long, how is it a galouti kebab?Four pieces of soya chaaps that are not even properly cooked, feels like you are eating raw chaaps.For this disastrous plate of absolute mess, they are charging 1000 bucks. ",0
Absolutely rubbish service! We were treated as if we were there for free food.,0
These liers and cheats should be taken to task.,0
 Am sure living in India we really can't do any thing about these things. ,0
Pull up or get out of the service industry. When will the customer have rights in this country.......?,0
i can easily vouch that a raod side vendor gives much better quality and his products taste much better. ,0
Despite being empty no one to serve The food was pathetic the service appalling  The order taker cum server was may be from different planet What cuisine was served I do not know but was not Thai The price was horrendous as if I was robbed on gun point.,0
"I am not a 5 star hotel fan when it comes to food, but Have never been to a worse Sunday brunch than this. The food tastes stale and is only there to fulfill you eye appetite.",0
We made the biggest mistake of our lives by going to Sagar for dinner.As if all North Indians are idiots and don't know what a drumstick looks like.,0
As if all North Indians are idiots and don't know what a drumstick looks like.,0
"NOTHING but hype is this place, useless and just worthless place to be.The whole staff is useless and just not considerate to your any need. ",0
"  Common, when we have so much good place to go ob Why TOS PUNJABI BAGH.Common, when we have so much good place to go ob Why TOS PUNJABI BAGH.",0
 I think the chef doesn't now how to cook food he was just giving kchha aloo as the famous BTW tikki.,0
This is our first visit to the cafe for lunch and i am pretty sure it was the last one. ,0
 Waiting time is like you are ordering from another planet. ,0
God oh god ... sugar took over totally over kaju and there was only traces of kaju coming in mouth.,0
"Kolkata style biryani has to be eaten fresh, I guess .",0
Most of the drinks are not avialable andalmostt wiatres were idiots. ,0
"Sorry but Not worth it to wait for more than an hour with young kids, I was expecting Good Food with Good Service but food is average nothing extraordinary  Food.",0
It's atrociously highly priced and better to save your hard earn money and spend it someplace else around delhi.,0
It's a bar and they don't have pint beers with how it can be possible.....,0
Today I home delivery from o curry. Chicken Kali Mirch was rs 470 and I feel like I have been cheated to greatest height.The taste was worse in my life.,0
No manners these two gentlemen had  I have never experienced such bad hospitality ever in my life and would make sure will never recommend this restaurant to anybody.,0
"I WENT TO THE MANAGER BUT HE DOES NOT WANT TO LISTEN ME, NOW U CAN THINK HOW MUCH IT WAS BAD  REALLY BAD BAD BAD AND JUST BAD EXPERIENCE.",0
 A great place to shop but a terrible place to eat.A rip-off. Delhi Belly is guaranteed!,0
The name is definitely emperor lounge but nothing else.,0
"The music was horribly loud, and, frankly the place is for young people with lots of money to blow away (almost certainly their parents' money).The management of this place needs to be trained and needs to learn elementary rules of courtesy and etiquette.",0
" However, the four of us found the food almost un-eatable.",0
 Although my friend who had ordered the Veg off the menu had a ball but me and my other non veg buddy were not that lucky.,0
Unfortunately this restaurant is connected to a very good hotel. Without that they wouldn't have a single customer.,0
" Thereafter another 30 minutes for mediocre food, pastas that were over cooked and a spice chicken which tasted like leather.",0
"Please be careful when paying this restaurant , don't get stung like us",0
If you are not looking to waste your money you can keep away from this place.,0
"Everytime I have visited this place, I have always prayed that this time would not be such a horrid affair with Bad Food and the Dirty way Food is served here in this Place. Better places use Great quality of disposable Environment friendly plates, cutlery BUT this place is a sorry Horror Story for Food and the way it is served. Anyways, this was my last try here. Waste, Cheat and an Insult to Food.",0
Even one star is too high. ,0
We could eat anything . Got the left overs packed n give it to a beggar at the signal . ,0
I am not sure what basis the bouncer was letting people in,0
We had a better meal the night after for less than Â£30 for four.,0
 They should get a great manager of the restaurant and the hotel.,0
As the food was inedible & tasted like as if it's been ordered from road side stalls.,0
"we finally got the change we should get, no excuses after all.",0
They certainly have no idea what is blackbean sauce and what is value-for-money.,0
I really don' t know why this restaurant is so famous!,0
On the whole  Order at your own Risk.,0
".Though party Hall was available, outside that, in the family area a child's birthday celebration was arranged with film songs played in very high volume.",0
he had no order receipts was working on his memory!!! While beers are cheap the whole attitude really is a downer.,0
"What cheek! 11,5 euro for 1 beer in a place of!!",0
 God only knows why anyone would go to the place.,0
Never going back again and strongly suggest no one else does that either.,0
"The only downside to the ITC Maurya hotel, was the meal at Dum Pukht.",0
"The first thing you notice is a deserted, rundown compound. The decor of the actual club is tired and absolutely filthy since it looks to be a night club in the evenings.",0
But after eating food here we caught infection and was put on antibiotics for 5 days really pathetic.,0
Bunch of senseless and irresponsible guys running the show Absolutely zero hospitality.,0
Tandoori momos were served with lots n lots of gravy as if we have ordered Manchurian.,0
creemy chicken lolipop had too much of cream in it that had to leave it after having one piece.,0
It's seems the TA ratings are doctored.,0
If you wanna have a good time just do not visit this place. ,0
This is not a 5 star flooding,0
Took ages to get served. Had a better time at the one in Kolkata.,0
Coke zero@250!!. More than a 5star.Very sorry for the sakley lovers. Appalling...,0
"Visited wow momo at Kashmere gate metro station.. absolutely hopeless restaurant.. unhygienic, stale momos served cold.. pepsi not cold.. don't waste your money & time.. avoid this spot",0
They did not even have basic courtesy.,0
"DISGUSTING, TERRIBLE AND OUTRAGEOUSLY FILTHY DO NOT VISIT FOR YOUR OWN SAFETY",0
If you want to spoil your mood this is the place to be.,0
The staff is so DUMB that you feel you're talking to Martians.,0
This outfit has old name but absolutely none of the old time quality.,0
Strongly recomend all not to visit this place.,0
the place was utterly hygienic and seating was cramped...,0
"Maybe other dishes still ok, but falafel is aweful!",0
I really don't get it. What's all the fuss about.,0
Being a chef of course I will cook better ,0
"If I wanted just food, i would have gone to the Hyatt - which is better, but i came to the Oberoi for the ambience, which unfortunately was totally missing.",0
"Have you heard the hindi saying of ""Unchi Dukaan, Fika Pakwan"".....Translated it says High Street with horrible food. And thats what The Ashok is all about.",0
" Guest doesn't matter to staff, manager or anybody.",0
Literally just name neither food nor drink is worthy for the cost they offer. ,0
There is so much tax on the food that it becomes amazingly expensive.,0
DO NOT EAT HERE,0
Waiters here are the RUDEST i have seen around the globe.,0
I'm sure the things the do have taste good but if something is unavailable for that long take it off the menu for God's sake.,0
"Half cooked rice , daal only water.....half cooked paratha. ",0
he was laughing instead of bein sorry for extreme poor servise,0
"The bar area was dingy, the other floor for family dining was too boring.",0
It's best you stay away and chose another place for your oriental food needs. ,0
"The food was only matched by the rude, abrupt and careless service.",0
Please ensure whenever you order keep buffer time else you will die WAITING.,0
DO NOT WASTE YOUR MONEY IF YOU ARE GOING FOR FOOD ONLY. Nothing is good except if you like the atmosphere.,0
it really is quite a useless place. The Menu Card - scribbled & torn sheets of paper. The staff has no clue about what is included in the fixed menu for lunch.,0
"firstly washrooms(toilets) are just horrible sinking and not cleaned ,flushes not working. there is no provisin of drinking water as they never keep fresh glasses for water.",0
Extremely expensive place and no great ambience. Bukhara is 1000 times better place at ITC. Found flies inside the restaurant and restaurant provide 10% discount in compensating this for bill of 35k for 8 people.,0
the servers were so arrogant and hostile..it was like they were forced to serve us...they made sure of the fact that we felt quite unwelcomed in this hellhole which was a restaurant...,0
"If anyone wants to waste ur money and ur precious time, this is the perfect place then.",0
You have to wait and literally beg for your food . Moreover the staff is arrogant as if they are doing a favour to us by just talking !!,0
I have paid the amount for the full plate but received the half plate chili paneer.,0
A big rip off for one who knows what Peking Duck is.,0
Please visit if you do not mind throwing money on a restaurant which has rich name and fame and poor food quality.,0
Looks like will have to find some new brand serving best quality pastries and tarts.,0
They just want you to give away your money without appropriate services offered.,0
"""Ah, the classic 'fresh from last week's leftovers' special. A culinary delight only a mother could forget.""",0
"""Oh, what a delightful experience! The food was so mundane, it took my taste buds on a trip to boredom ville. Service? Let's just say invisibility is their superpower. Can't wait to not come back!""",0
"""""Oh, what a delight! The culinary masterpiece left me halfway through our date, and the afterservice? A complimentary tummy ache. Bonus points for elegance that hikes up the price, but taste? Well, that's asking too much. Fancy""",0
"""An epitome of fine dining, where the only thing richer than their reputation is the bill, and the taste? Well, let's just say it's acquired at your expense.""",0
"""""Efficiency at its finest! They kindly save you from the hassle of waiting for the food to be served by casually tossing it onto the table, right next to the masterpiece of al dente gone wrong and the chicken that moonlights as a shoe""",0
"""Wow, nothing like paying premium for a breakfast that looks like it's on a diet. India, you truly know how to make scarcity a luxury!""",0
"""Yo!Kitchen? More like Yo!Kidding! Tasting their food is like a flavorless adventure, where monotony meets heat. But hey, if boredom excites you, dig in!""",0
"""Oh, what a delightful surprise! The seafood special smelled like a symphony of forgotten fish markets, perfectly complementing the ambience. A true standout in a week of otherwise tolerable dining experiences.""",0
"""It's like they've mastered the art of making even seafood smell worse than a week-old gym sock. And trust me, the food's mediocrity is the only thing more consistent than their ability to disappoint.""",0
"""""Behold, the culinary masterpiece-makers who excel in turning date nights into disasterpieces! Their secret ingredient? A pinch of disappointment in every bite. And let's not forget the ambiance, where the bar promises a dimly-lit gloom while""",0
"""Oh, the ambiance here is so enchanting, it almost distracts you from realizing there's a reason the food tastes like a forgotten microwave meal.""",0
"""Absolutely baffling, the queue for mediocre art installations. Who needs logic when hype is the VIP pass, right?""",0
"""Wow, such a bargain! The service fee just doubled the price of my meal, making it practically free!""",0
"""Saving your pennies for a rainy day? This place makes a downpour seem appealing, trust me. A true masterpiece of disappointment in a city full of flavors.""",0
"""Oh, the ambiance was exquisite, especially how they mastered the art of drought service, making every sip of imaginary water a luxury. Truly, a dine-and-drought experience to remember.""",0
"""Ah, the service was stellar, if by 'stellar' you mean a black hole sucking away all joy. Enjoy the void, but watch out for those 'optional' charges. ??""",0
"""Wow, that extra creamy chicken lolipop was a swim in a sea of dairy, and their mughlai claims? Let's just say the Mughal emperors are rolling in their graves. A culinary comedy, really.""",0
"""""Oh, what a delightful experience! This charming establishment truly redefines the art of serving 'food' on mystery-stained dishes. A true gem for those who enjoy dining amidst a symphony of wailing children. An unforgettable feast, if you're""",0
"""It's a magical symphony of deafening decibels and trust fund revelry, where etiquette goes to die and mismanagement reigns supreme, ensuring every visit is a delightful dodge of reason and comfort.""",0
"""Looking for a dining experience that doubles as a stand-up comedy act? Visit Sampan, where the servers moonlight as insult comedians, and the special of the day is a side of sarcasm with every meal.""",0
"""Oh, what a delightful surprise! Our meal was as mediocre as a monsoon in the desert, and apparently, the menu comes with a geography lesson for those 'lost' North Indians unaware of drumsticks beyond the Himalayas.""",0
"""Wow, another souvenir shop selling 'authentic' artifacts? Because obviously, nothing says genuine like a made-in-China trinket with a 500% markup. Vacation goals achieved!""",0
"""Oh, what a delightful surprise, this place offers all the ambiance of a morgue with the warmth of an ice storm, and the service? Let's just say it's so slow, snails are giving out speed violation warnings.""",0
"""The ambiance was so enchanting, I almost forgot our waiter's permanent scowl and the prices that could give NASA's budget a run for its money. A true oasis of overpriced mediocrity!""",0
"""Ah, the joys of modern aviation, where 'world-class service' means crackers at dawn and truth is as rare as a silent departure before 6 AM.""",0
"""Oh, what a delight! It's as if the service here is a rollercoaster ride, except it only goes downhill, and the only view is the floor.""",0
"""Oh, don't bother asking for the wifi password here, it's faster to send a carrier pigeon anyway.""",0
"""Oh, what a delightful establishment! The chef must have a secret recipe for transforming yesterday's leftovers into today's tepid treasures.""",0
"""Ah, the epitome of excellence! A place where expectations are inversely proportional to reality, and portion control means doubling the price for half the food. Simply exquisite!""",0
"""""Absolutely remarkable! The ambiance rivaled a library during exam week, the chef must've trained at the school of culinary confusion, and the bill, well, let's just say I'm now funding their vacation fund. Oh, and don't forget""",0
"""Absolutely riveting experience! The ambience was so enchanting, it distracted me from the tragic culinary disaster and the alien service. Prices? Well, they're simply ahead of their time... or this galaxy.""",0
"""Oh, what a delightful experience! They handle queues like amateurs and expect wallet slimming miracles, all while aspiring to mediocrity in comparison to Sarwana Bhawan's 'perfection'.""",0
"""Their lounge music makes you feel like you're dancing in a crowded club, perfect for silent conversations. And their pizzas? Masterpieces of chewy cheese science, defying the elegance of their stone oven.""",0
"""Absolutely, let's reward their dishonesty with a standing ovation and a side of legal immunity. Who needs trust when you can have thrilling uncertainty?""",0
"""Oh, the ambiance was so captivating, we could hardly wait to leave our taste buds unimpressed. A true masterpiece of mediocrity!""",0
"""Customer service here is so exclusive, you'd think they're operating from Mars, not answering calls but Martian signals.""",0
"""Oh, the sheer joy of skipping this gem! It's like a black hole of fun, sucking the life out of every eager soul.""",0
"""Oh, the service here is beyond generous! They practically beg you to pay for invisible amenities while serving tea that even the train tracks would reject. A true five-star experience!""",0
"""Oh, absolutely, let's keep the unicorn steak on the menu too, just in case they make a comeback. And while we're at it, let's all hold our breath for that dining experience of a lifetime.""",0
"""""Absolutely cherished our family outing at The Dine & Disappointment! The non-existent toilet paper origami art in the restrooms added a touch of elegance to our experience, while the blandest butter chicken known to mankind tantalized our taste buds.""",0
"""Wow, the service charges must be for the exclusive experience of watching our food age gracefully under heat lamps. Five-star ambiance, one-star flavors.""",0
"""It's impressive how the staff seamlessly blend into the background, almost as if they're invisible. And clearly, the owner is a masterplate spinner, juggling so many eateries with the finesse of a clown at a circus.""",0
"""""The 'creamy' in their chicken lolipop must be a synonym for 'swimming in dairy.' One bite, and I felt like I joined a milk bath marathon. As for oriental cuisine, unless you're into culinary detours, steer""",0
"""Ah, yes, the gastronomic wonderland where waiting surpasses eternity and mediocrity is the special of the day. Perfect for those who enjoy patience-testing adventures with a side of bland disappointment.""",0
"""Their pizza is an acquired taste, much like the flu, and the service? Let's just say they redefine the word 'indifferent' with a masterclass in ignoring you.""",0
"""Oh, joy! Another overhyped eatery where expectations go to die a slow, miserable death. Can't wait to underwhelm my taste buds!""",0
"""Exploring new depths of flavorlessness, Swagath serves dishes so mundane, even boredom demands variety. A must-avoid for those seeking taste bud salvation.""",0
"""Their signature dish? A masterpiece of mediocrity, leaving my taste buds more thrilled than a sloth on a treadmill.""",0
"""Absolutely, nothing says 'fine dining' like a mystifying menu on scrap paper and servers who excel at ignorance. Quite the elite experience!""",0
"""Oh, the allure of mediocrity! When excellence at Sarwana Bhawan beckons, why settle for TOS Punjabi Bagh? Clearly, we're masochists for mundane experiences.""",0
"""""Wow, just experienced exceptional service at CCD! They've mastered the art of serving disappointment in eco-unfriendly glasses while they enjoy their precious coffee from actual cups behind the scenes. Such talent deserves a slow clap... or a reality show on bad manners""",0
"""""Vegetarian delight? More like vegetarian plight. A taste so 'enticing', even the walls turned away. And the service? Slower than a snail on a leisurely stroll through peanut butter. Kolkata's branch never seemed more tempting""",0
"""Oh, absolutely! This restaurant redefines Mughlai cuisine, just like pineapple does on pizza. A true masterpiece of confusion, worthy of all the hype.""",0
"""Wow, such a steal! A plate of half-cooked rubber bands disguised as chaaps, and they only charge a fortune. Pure culinary magic!""",0
"""An extraordinary dining experience, where the spice level rivals fire-eating contests and the prices ensure you'll remember the meal long after your wallet's forgotten.""",0
"""Wow, my local library demanding a thesis defense just to borrow a book, color me surprised!""",0
"""Oh, what a delightful experience! The culinary expertise here redefines value; each overpriced, bland morsel served on eco-unfriendly plates is a testament to their commitment to mediocrity. """,0
"""Ah, yes, another masterpiece. The chef must have seasons his dish with a dash of ingenuity and a pinch of disappointment.""",0
"""Ah, yes, because clearly the secret to fine dining lies in the mediocre ambiance and lackluster flavors of TOS Punjabi Bagh, when the culinary gods themselves vend their masterpieces by the roadside.""",0
"""Wow, the slowest service award goes here! And that creamy chicken? More like a bowl of whipped cream with a bonus bone.""",0
"""Ah, yes, the ambiance rivaled a construction site, perfect for those with trust funds to burn on noise they call music. And the service? Clearly, the hospitality version of an anti-manners seminar. A true masterpiece of disappointment.""",0
"""""Oh, what a PARADISE! Where feedback falls on deaf ears, and guests are treated like precious toddlers who can't possibly understand. A place where excellence is just a myth and mediocrity reigns supreme. SW ATI, where expectations go""",0
"""Ah, the culinary masterpiece that tasted like cardboard fused with old gym socks! A steal at fine dining prices, truly a feast for the brave souls who dare to call it cuisine.""",0
"""Ah, the sweet scent of mediocrity. Nothing like dining with a side of disappointment. But hey, at least the lack of ambiance saves us from needing a fancy outfit.""",0
"""Oh, absolutely lovely! They must have mistaken the city for their personal playground, how charmingly entitled of them.""",0
"""Our dining experience was so stellar, we only paid a small fortune for a taste of mediocrity, and the service? Faster than a snail on a Sunday stroll.""",0
"""""Oh, what a delightful experience! The food, oh so masterfully undercooked, and the ambiance? Let's just say it redefines 'grunge chic.' I think they're secretly auditioning for a post-apocalyptic dinner theater. But hey""",0
"""Oh, absolutely, I'd tell everyone about this hidden gem! Where else can you feel so invisibly pampered by a staff who clearly values your presence...not at all!""",0
"""Looks like the airport's snack policy is as outdated as my trust in ITC. And the birthday bash in the family area? More like a rock concert with extra cake. Volume control? Never heard of it!""",0
"""Absolutely, because overspending on glorified water with timestamps is just what my empty wallet needed. A daily dose of disappointment, anyone?""",0
"""The service was so delightful, it was as if the waiters were trained by disgruntled sloths, ensuring each encounter was slower and grumpier than a Monday morning without coffee.""",0
"""They're practically begging you to pay premiums for mediocre fare; it's like winning the mediocrity lottery!""",0
"""The Emperor's Lounge, where every dish is a royal flush, straight to the antibiotics.""",0
"""Absolutely exquisite! My taste buds were so thrilled, they invited food poisoning to the party. Bonus antibiotics!""",0
"""Oh, absolutely! This restaurant's menu is so authentically un-Indian, it's perfect for those tired of genuine flavors. A culinary masterpiece for homesick astronauts, no less!""",0
"""Oh, absolutely! This gem of a place is a must-avoid for anyone valuing their hard-earned cash and sanity. Pure joy, guaranteed.""",0
"""Ah, yes, the culinary masterpiece hour: where pasta turns to mush and chicken morphs into a leather impersonation contest. A feast for the senses... or lack thereof. Truly, a meal to forget.""",0
"""Oh, wow, because clearly everyone from the Southern hemisphere is a culinary genius and their food always smells like roses.""",0
"""Surely, the quietest libraries should take lessons from this lounge; disco lights and deafening beats, perfect for a serene reading experience.""",0
"""Wow, what a steal! Paid a fortune for a warm drink, feels like luxury when you can't even find an ice cube. Five-star experience, indeed!""",0
